f6be1c76-3097-11e7-9301-6cae8b5fc378;SDN 3 Tohkuning;sdn3tohkuning
f6be1978-3097-11e7-9301-6cae8b5fc378;SDN 2 Tohkuning;sdn2tohkuning
f6be167e-3097-11e7-9301-6cae8b5fc378;SDN 1 Tohkuning;sdn1tohkuning
f6be1383-3097-11e7-9301-6cae8b5fc378;SDN 3 Karang;sdn3karang
f6be108c-3097-11e7-9301-6cae8b5fc378;SDN 2 Karang;sdn2karang
f6be0d9a-3097-11e7-9301-6cae8b5fc378;SDN 1 Karang;sdn1karang
f6be0a9c-3097-11e7-9301-6cae8b5fc378;SDN 2 Salam;sdn2salam
f6be079a-3097-11e7-9301-6cae8b5fc378;SDN 1 Salam;sdn1salam
f6be0448-3097-11e7-9301-6cae8b5fc378;SDN 3 Bangsri;sdn3bangsri
f6be0115-3097-11e7-9301-6cae8b5fc378;SDN 2 Bangsri;sdn2bangsri
f6bdfe1b-3097-11e7-9301-6cae8b5fc378;SDN 1 Bangsri;sdn1bangsri
f6bdfb1c-3097-11e7-9301-6cae8b5fc378;SDN 3 Dayu;sdn3dayu
f6bdf81e-3097-11e7-9301-6cae8b5fc378;SDN 1 Dayu;sdn1dayu
f6bdf50b-3097-11e7-9301-6cae8b5fc378;SDN 2 Karangpandan;sdn2karangpandan
f6bdf0ee-3097-11e7-9301-6cae8b5fc378;SDN 1 Karangpandan;sdn1karangpandan
f6bde5b1-3097-11e7-9301-6cae8b5fc378;SDN Cadangan;sdncadangan
f6bddc37-3097-11e7-9301-6cae8b5fc378;SDN 2 Mojoroto;sdn2mojoroto
f6bdd2b8-3097-11e7-9301-6cae8b5fc378;SDN 1 Mojoroto;sdn1mojoroto
f6bdc941-3097-11e7-9301-6cae8b5fc378;SDN 2 Buntar;sdn2buntar
f6bdbfcd-3097-11e7-9301-6cae8b5fc378;SDN 1 Buntar;sdn1buntar
f6bdb64f-3097-11e7-9301-6cae8b5fc378;SDN 2 Gebyok;sdn2gebyok
f6bdaca8-3097-11e7-9301-6cae8b5fc378;SDN 1 Gebyok;sdn1gebyok
f6bda1c4-3097-11e7-9301-6cae8b5fc378;SDN 4 Sewurejo;sdn4sewurejo
f6bd9604-3097-11e7-9301-6cae8b5fc378;SDN 3 Sewurejo;sdn3sewurejo
f6bd8a51-3097-11e7-9301-6cae8b5fc378;SDN 2 Sewurejo;sdn2sewurejo
f6bd7e9e-3097-11e7-9301-6cae8b5fc378;SDN 1 Sewurejo;sdn1sewurejo
f6bd72df-3097-11e7-9301-6cae8b5fc378;SDN 2 Kedungjeruk;sdn2kedungjeruk
f6bd6713-3097-11e7-9301-6cae8b5fc378;SDN 1 Kedungjeruk;sdn1kedungjeruk
f6bd5ad9-3097-11e7-9301-6cae8b5fc378;SDN 3 Gentungan;sdn3gentungan
f6bd5047-3097-11e7-9301-6cae8b5fc378;SDN 2 Gentungan;sdn2gentungan
f6bd4794-3097-11e7-9301-6cae8b5fc378;SDN 1 Gentungan;sdn1gentungan
f6bd3e05-3097-11e7-9301-6cae8b5fc378;SDN 3 Kaliboto;sdn3kaliboto
f6bd349c-3097-11e7-9301-6cae8b5fc378;SDN 2 Kaliboto;sdn2kaliboto
