1;  Pakan Unggas   Pakan layer starter;1;5000
2;  Pakan Unggas   Pakan broiler  starter I;1;4500
3;  Pakan Unggas   Pakan broiler  starter II;1;5500
4;  Pakan Unggas   Pakan broiler finisher;1;5400
5;  Pakan Unggas   Konsentrat ayam petelur / grower;1;5400
6;  Pakan Unggas   Konsentrat ayam petelur / layer;1;5700
7;  Pakan Unggas   Konsentrat ayam pedaging / broiler;1;5500
8;    Pakan Sapi Konsentrat;1;4200
9;    Bahan pakan Ternak Jagung Pipil;1;3000
10;Bahan pakan Ternak Dedak / bekatul;1;2200
11;  Pakan Ikan No. 581;1;19763
12;  Pakan Ikan No. 788;1;8600
13;  Pakan Ikan No. 789;1;8600
14;  Pakan Ikan No. 999;1;15500
15;  Pakan Ikan No. 781  - 2;1;11018
16;  Pakan Ikan No. 781  - 3;1;10908
17;  Pakan Ikan No. 782;1;10523
18;  Pakan Ikan Lele LA3, Apung No. 853.03;1;9000
19;  Pakan Ikan Lele LA4, Apung No. 853.04;1;8600
20;  Pakan Ikan Lele LA7  - K, Apung No. 853.07;1;8000
21;  Pakan Ikan Bandeng 13  - 3, No. 805.03;1;4400
22;  Pakan Ikan Bandeng 13  - 5, No. 805.05;1;4100
23;  Pakan Ikan Bandeng BA  - 3,No. 805.03;1;4700
24;  Pakan Ikan Bandeng BA  - 4,No. 855.04;1;4500
25;  Pakan Ikan Bandeng BA  - 6,No. 855.06;1;5300
26;  Pakan Ikan Mas, MG 1,No. 806.01;1;8600
27;  Pakan Ikan Mas, MG 2,No. 806.02;1;8600
28;  Pakan Ikan Mas, MG 1,No. 806.11;1;8600
29;  Pakan Ikan Mas, MG 2,No. 806.22;1;8600
30;  Pakan Ikan Patin, PTN 2, No.807.02;1;8600
31;  Pakan Ikan Gurami GA 3, Apung No. 858.03;1;8000
32;  Pakan Ikan Gurami GA 4, Apung No. 858.04;1;8000
33;  Pakan Ikan Nila, NS 1, tenggelam ;1;12500
34;  Pakan Ikan Nila, NS 2 ;1;12500
35;  Pakan Ikan Nila, NS 4;1;12500
36;  Pakan Ikan Nila, NB;1;12500
37;  Pakan Ikan Nila, NG 10;1;8500
38;  Pakan Ikan Katak Lembu;1;6000
39;  Pakan Ikan Ikan Hias;1;38000
40;  Pakan Ikan Ikan Bawal;1;5100
41;  Pakan Ikan Nila Gift / Nila Merah;1;8600
42;  Pakan Ikan Udang;1;14000
43;  Pakan Ikan Gaun;1;750
44;  Pakan Ikan Tawes;1;4300
45;  Pakan Ikan Pengesius;1;4000
46;  Pakan Ikan Betutu;1;4000
47;  pakan ikan;1;11500
48; pakan ikan no  pF 500;1;18000
49; pakan ikan no  pF 800;1;16000
50; pakan ikan no  pF 1000;1;15000
51; pakan ikan no  pF 503;1;
