1;Bidang Kehutanan akasia 50-70;11;3750
2;Bidang Kehutanan Akasia Mangium, tinggi 30 cm;11;3000
3;Bidang Kehutanan Akasia Manium;11;29750
4;Bidang Kehutanan Akasia Pinisium;11;29750
5;Bidang Kehutanan Alpokat Tunggal;11;102000
6;Bidang Kehutanan Alpokat Unggulan;11;133875
7;Bidang Kehutanan Aren;11;32300
8;Bidang Kehutanan Aren, tinggi 40 cm;11;14500
9;Bidang Kehutanan Belimbing Varietas Unggulan;11;64175
10;Bidang Kehutanan Beringin;11;28900
11;Bidang Kehutanan bibit bambu 60 cm;11;15725
12;Bidang Kehutanan Cemara Gunung;11;165750
13;Bidang Kehutanan Cemara Pecut;11;229500
14;Bidang Kehutanan Cemara Pecut Kip;11;134300
15;Bidang Kehutanan Cengkeh;11;64175
16;Bidang Kehutanan Damar;11;32300
17;Bidang Kehutanan Duku;11;53550
18;Bidang Kehutanan Durian;11;106250
19;Bidang Kehutanan Eukaliptus;11;29750
20;Bidang Kehutanan Gmelina, tinggi  30-40 cm;11;4500
21;Bidang Kehutanan Jabon;11;11050
22;Bidang Kehutanan Jabon, tinggi 40-60 cm;11;6000
23;Bidang Kehutanan Jabon, tinggi 50-70 cm;11;2975
24;Bidang Kehutanan Jambu Getas Merah;11;53550
25;Bidang Kehutanan Jambu Jamaika;11;83300
26;Bidang Kehutanan Jambu Kristalin;11;63750
27;Bidang Kehutanan Jambu Madu Deli Hijau;11;176800
28;Bidang Kehutanan jambu merah, 50-70;11;19125
29;Bidang Kehutanan jati 50-70;11;4250
30;Bidang Kehutanan Jati lokal 50-60 cm                                                                    ;11;3500
31;Bidang Kehutanan Jati super / kultur jaringan 30-50 cm;11;20000
32;Bidang Kehutanan Jati unggul / super 50-60 cm;11;5000
33;Bidang Kehutanan Jenitri;11;28900
34;Bidang Kehutanan Jeruk Nipis / Pecel;11;53550
35;Bidang Kehutanan Jeruk Pamelo;11;90950
36;Bidang Kehutanan Jeruk Purut;11;55675
37;Bidang Kehutanan Jeruk Sambal;11;42500
38;Bidang Kehutanan Jeruk Siem;11;53550
39;Bidang Kehutanan Johar, tinggi 30 cm;11;5000
40;Bidang Kehutanan Kaliandra Merah;11;28900
41;Bidang Kehutanan Kayu Manis;11;28900
42;Bidang Kehutanan Kayu Putih;11;29750
43;Bidang Kehutanan Kelengkeng;11;106250
44;Bidang Kehutanan Kemiri;11;69700
45;Bidang Kehutanan Kemiri, tinggi 30 cm ;11;6000
46;Bidang Kehutanan Kenari, tinggi 40 cm;11;5500
47;Bidang Kehutanan Kopi;11;74800
48;Bidang Kehutanan Lamtoro, tinggi 25 cm;11;2500
49;Bidang Kehutanan Mahoni;11;26775
50;Bidang Kehutanan Mahoni biasa, tinggi 40 cm;11;3000
51;Bidang Kehutanan Mahoni unggul, tinggi 40-50 cm;11;6000
52;Bidang Kehutanan Mangga;11;74800
53;Bidang Kehutanan Mangga Varietas Baru;11;102000
54;Bidang Kehutanan Manggis;11;87550
55;Bidang Kehutanan Matoa;11;85000
56;Bidang Kehutanan Matoa 40-60 cm;11;8500
57;Bidang Kehutanan matoa, 50-70;11;10625
58;Bidang Kehutanan Mawar;11;25500
59;Bidang Kehutanan Mundung;11;69700
60;Bidang Kehutanan Nangka;11;53550
61;Bidang Kehutanan Nangka dak;11;63750
62;Bidang Kehutanan Pala;11;102000
63;Bidang Kehutanan Pete;11;48450
64;Bidang Kehutanan Pucuk Merah;11;63750
65;Bidang Kehutanan Pupuk Kandang Fermentasi / Kompos;11;1700
66;Bidang Kehutanan Rambutan;11;74800
67;Bidang Kehutanan Sapu Tangan;11;63750
68;Bidang Kehutanan Sawo Jumbo;11;87550
69;Bidang Kehutanan Sawo kecik, tinggi 30 cm;11;6000
70;Bidang Kehutanan Sayuran dalam Polybag;11;59075
71;Bidang Kehutanan Sengon;11;11050
72;Bidang Kehutanan sengon, 50-70;11;2975
73;Bidang Kehutanan Sengon, tinggi 30-50 cm;11;3000
74;Bidang Kehutanan Sirsat;11;42500
75;Bidang Kehutanan Suren / suryan 30-50 cm;11;3500
76;Bidang Kehutanan Tabulampot;11;246500
77;Bidang Kehutanan Tanjung;11;53550
78;Bidang Kehutanan Tanjung, tinggi 30-50 cm;11;4500
79;Bidang Kehutanan Trembesi, tinggi 40-60 cm;11;5000
80;Bidang Kehutanan Trembesi, tinggi 50-70 cm;11;3188
81;Bidang Kehutanan Vertikultur;11;106250
82;Bidang Perkebunan Benih kelapa;56;7650
83;Bidang Perkebunan Bibit Asem 50-60 cm;11;15000
84;Bidang Perkebunan Bibit cengkeh 50-70 cm;11;20000
85;Bidang Perkebunan Bibit Jenetri;11;20000
86;Bidang Perkebunan Bibit kakao 40 -50 cm;11;4250
87;Bidang Perkebunan Bibit kakao 50-70 cm;11;5950
88;Bidang Perkebunan Bibit kelapa 50-70 cm;11;17500
89;Bidang Perkebunan Bibit kelapa sawit T (1-2 meter);11;2500000
90;Bidang Perkebunan Bibit kelapa sawit T (2 meter keatas);11;4000000
91;Bidang Perkebunan Bibit lada 50-70 cm;11;7650
92;Bidang Perkebunan Bibit manglit;11;15000
93;Bidang Perkebunan Bibit Pala;11;15000
94;Bidang Perkebunan Pala 60-70;11;21250
95;Bidang Perkebunan Pala 40-50;11;14875
96;Bidang Perkebunan Bibit tebu;11;93500
97;Bidang Perkebunan Bibit tembakau 1 bln;11;213
98;Bidang Perkebunan Bibit Tembakau 5-10 cm;11;125
99;Bidang Perkebunan Kopi arabica;11;8500
100;Bidang Perkebunan kopi arabica/robusta 60-70;11;12750
101;Bidang Perkebunan kopi arabica/robusta 40-50;11;8500
102;Bidang Perkebunan Mete 50-70 cm;11;4000
103;Bidang Perkebunan Stek Panili 50-60 cm;11;10000
104;Bidang Perkebunan Bibit Jahe;11;14875
105;Bidang Perkebunan bibit kelapa daun;11;14875
106;Bidang Perkebunan bibit cengkeh 40-50;11;12750
107;Bidang Perkebunan bibit kakao kultur jaringan;11;21250
108; Benih Padi     SS;1;7500
109; Benih Padi     ES;1;11500
110; Benih Padi     FS;1;13800
111; Benih Padi     Hibrida;1;70000
112; Benih Padi     Inhibrida;1;10000
113; Benih Kedelai    SS;1;18000
114; Benih Kedelai    ES;1;18000
115; Benih Kedelai    BMJ;1;18000
116; Benih Jagung KOmposit    SS;1;15000
117; Benih Jagung KOmposit    ES;1;12500
118; Benih Jagung KOmposit    BMJ;1;11000
119;  Benih Jagung KOmposit   Hibrida;1;55000
120; Benih Kacang Tanah    SS;1;15000
121; Benih Kacang Tanah    ES;1;12500
122; Benih Kacang Tanah    BMJ;1;10000
123; Benih Kacang Hijau    SS;1;12500
124; Benih Kacang Hijau    ES;1;11500
125; Benih Kacang Hijau    BMJ;1;10500
126;Benih Durian;57;25000
127;Benih Mangga;57;17000
128;Benih Jeruk;57;15000
129;Benih Rambutan;57;15000
130;Benih Blimbing;57;11000
131;Benih Pisang;57;25000
132;Benih Salak;57;12500
133;Benih Klengkeng;57;100000
134;Benih Duku;57;25000
135;Benih Manggis;57;15000
136;Benih  Kentang    G4;1;11000
137;Benih Kentang    G3;1;13000
138;Benih Cabe    Tampar & sejenisnya ;1;450000
139;Benih Cabe    Hibrida;62;1900000
140;Benih Bawang merah;1;27500
141;Benih  Anggrek    benih botolan;12;58000
142;Benih Anggrek    bibit/ anakan dendrodium;11;8000
143;Benih Anggrek    Ukuran berbunga;11;25000
144;Benih  Anggrek   bibit/ anakan Anggrek bulan;;17500
145;Benih Jahe;1;17500
146;Benih Kencur;1;35000
147;Benih Kunyit;1;7500
148;Benih Temulawak;1;20000
149;Benih bawang putih;1;41000
150;Benih bibit klengkeng 50  - 70;;65000
151;Benih sirsat;;15000
152;Bibit kelapa daun;11;
153;Bibit cengkeh tinggi 50 -70 cm;11;
154;Bibit Kakao tinggi 60 - 70 cm;11;
155;Bibit tebu;63;
156;Tembakau;11;
157;Pala tinggi 50 - 70 cm;11;
158;Lada 3 - 5 ruas;11;
159;Kopi arabica/ Robusta tinggi 60 - 70 cm;11;
160;Bibit Benih Kelapa;56;9000
161;Bibit Benih Kopi Arabika;1;200000
162;Bibit Benih Laos (Rimpang);1;2000
163; Bibit Benih Tembakau;1;250000
164;Bibit Bibit Aren;11;2000
165;Bibit Bibit Duku 50cm(matesih);57;25000
166;Bibit Durian 50 cm;11;
167;Bibit Durian 100cm;11;75000
168;Bibit Jeruk Keprok 50cm;57;28750
169;Bibit Kakao 25-30 cm;11;2500
170;Bibit Karet Sambung 30-40cm;11;2000
171;Bibit Kopi 20-50cm;11;3000
172;Bibit Lengkeng 40cm;57;100000
173;Bibit Entres Kakao;89;500
174;Bibit Stek the 20 cm;90;300
175;Bibit Stump Panjatan / Naungan 2m;11;1000
176;Bibit karet payung 2-3;11;20000
177;Bibit jambu;11;
178;Bibit pisang (20 cm);11;
179;Bibit pisang (40 cm);11;
180;Bibit manggis;11;
181;Bibit matoa (80 cm);11;
182;Bibit apel;11;
183;Tanaman Angkong;10;585900
184;Tanaman Angsana;11;12600
185;Tanaman Anting Super;11;8820
186;Tanaman Aponika super;11;4200
187;Tanaman Bakung;11;4200
188;Tanaman Bambu;11;15750
189;Tanaman Beauty;11;2600
190;Tanaman Beringin 1 m;11;105000
191;Tanaman Beringin 1,5 m;11;189000
192;Tanaman Beringin tinggi 1 M;11;100800
193;Tanaman bibit rumput jepang;9;18900
194;Tanaman Bougenvile besar;11;105800
195;Tanaman Bougenvile kecil;11;24500
196;Tanaman Bougenvile tanggung;11;44100
197;Tanaman Brasil Putih;64;5670
198;Tanaman Cemara Natal;11;56000
199;Tanaman Cemara Norbok;11;70000
200;Tanaman Cemara norbok tinggi 1,25 M;11;157500
201;Tanaman Cemara udang ( 10 M / 5 M );11;220500
202;Tanaman Cemara Udang < 1 m;11;265000
203;Tanaman Daur Jepang;64;9150
204;Tanaman Diven;11;56700
205;Tanaman Dunak bambu;10;8000
206;Tanaman Glodog biasa besar 1 m;11;21000
207;Tanaman Glodog biasa kecil < 30 cm;11;14000
208;Tanaman Glodog pecut besar 1 m;11;63000
209;Tanaman Glodog pecut kecil <30 cm;11;35000
210;Tanaman Korneli;64;7050
211;Tanaman Lamtana;11;3550
212;Tanaman Lili Brasil besar;11;27720
213;Tanaman Lili Brasil kecil;11;12600
214;Tanaman Mahkota duri / Ephorbia;64;18900
215;Tanaman Mahoni  1 m;11;25000
216;Tanaman Matoa;11;42000
217;Tanaman Matoa tinggi 1 m;11;94500
218;Tanaman Mega Mendung;64;3550
219;Tanaman Melati;64;56700
220;Tanaman Pakis hijau;64;3500
221;Tanaman Palm botol 1 m;11;105000
222;Tanaman Palm botol tinggi 1 m;11;138600
223;Tanaman Palm ekor tupai 1 m;11;98000
224;Tanaman Palm plapah;11;31500
225;Tanaman Palm puteri super diatas 1 m;11;63000
226;Tanaman Palm putri Biasa 1 m;11;63000
227;Tanaman Palm putri Regu 1 m;11;63000
228;Tanaman Palm putri Super > 0,5 m;11;56000
229;Tanaman Palm putri Super > 1 m;11;84000
230;Tanaman Palm raja 1 m;11;84000
231;Tanaman Pangkas hijau;64;4410
232;Tanaman Paragita kecil;11;189000
233;Tanaman Parang;10;42000
234;Tanaman Parigata besar;11;315000
235;Tanaman Parigata kecil;11;28000
236;Tanaman Pestisida;3;84000
237;Tanaman Pucuk merah;11;25200
238;Tanaman Pupuk anorganik;1;7050
239;Tanaman Pupuk kandang;53;279400
240;Tanaman Puring;11;12000
241;Tanaman Puring;11;15750
242;Tanaman Rumput gajah mini;9;56700
243;Tanaman Sawo bludru;11;35000
244;Tanaman Sawo blundru 1 m;11;56700
245;Tanaman Soka jambon orange;64;6000
246;TanamanTabebuya tinggi 2 m;11;157500
247;Tanaman tali stater;10;18900
248;Tanaman Tanaman Buah Langka besar;11;175000
249;Tanaman Tanaman Buah Langka kecil;11;111800
250;Tanaman Tanjung;11;35000
251;Tanaman Trembesi tinggi 2 m;11;157500
252;Tanaman Vloren;64;16750
253;Tanaman Wali Songo;11;42000
254;Tanaman Wali songo besar;11;52920
255;Tanaman Wali songo kecil;11;10080
