1;Alat kebersihan Angkong;10;1300000
2;Alat kebersihan Air Pass;11;4150
3;Alat kebersihan pompa air (alcone)  5.5 PK;10;4889500
4;Alat kebersihan Alcone ;10;3500000
5;Alat kebersihan Alcone 5,5 PK (3inch);10;4000000
6;Alat kebersihan Ban dalam becak;10;30000
7;Alat kebersihan Ban luar becak;10;60000
8;Alat kebersihan Becak;10;4889500
9;Alat kebersihan Busi mesin potong rumput;10;20000
10;Alat kebersihan Busi potong rumput;10;18900
11;Alat kebersihan Chainsaw besar;10;15000000
12;Alat kebersihan Chainsaw kecil;10;4662000
13;Alat kebersihan Chainsaw sedang;10;11025000
14;Alat kebersihan Cikrak bambu besar;10;15000
15;Alat kebersihan Cikrak bambu biasa;10;9450
16;Alat kebersihan Cikrak blek;10;10080
17;Alat kebersihan Ember plastik uk;10;31500
18;Alat kebersihan Fleksibel shaf;10;63000
19;Alat kebersihan Flexibel sharf;10;104500
20;Alat kebersihan Gancu;10;63000
21;Alat kebersihan Garuk sampah;10;41580
22;Alat kebersihan Garuk sampah;10;63500
23;Alat kebersihan Gear case;10;296100
24;Alat kebersihan Gergaji;10;42000
25;Alat kebersihan Gergaji kayu;10;60000
26;Alat kebersihan Gerinda pisau;10;18900
27;Alat kebersihan Gerobak;10;4889500
28;Alat kebersihan Herbisida;3;432000
29;Alat kebersihan Irus besar bahan besi;10;15000
30;Alat kebersihan Jaring rajut;10;612360
31;Alat kebersihan Kikir;10;18900
32;Alat kebersihan Ladu;53;223550
33;Alat kebersihan Laker becak;10;27500
34;Alat kebersihan Linggis besar;10;63500
35;Alat kebersihan Linggis kecil;10;23940
36;Alat kebersihan Linggis sedang;10;36540
37;Alat kebersihan masker;10;1000
38;Alat kebersihan Mesin potong rumput dorong;10;15000000
39;Alat kebersihan Mesin potong rumput gendong;10;5000000
40;Alat kebersihan Obat Penyemprot lalat  monitor ;10;126000
41;Alat kebersihan Obat Penyemprot Rumput   Roundup ;10;118800
42;Alat kebersihan Pacul;10;66150
43;Alat kebersihan Pecok;10;77000
44;Alat kebersihan Pelek becak sampah;10;99000
45;Alat kebersihan Pisau potong rumput;10;75600
46;Alat kebersihan Polibag;1;35000
47;Alat kebersihan Pompa air listrik;10;1047750
48;Alat kebersihan Rantai becak;10;49500
49;Alat kebersihan Rantai chain saw besar;10;283500
50;Alat kebersihan Rantai chain saw tanggung;10;270900
51;Alat kebersihan Sabit;10;77000
52;Alat kebersihan Sabit besar;10;34020
53;Alat kebersihan Sabit kecil;10;27720
54;Alat kebersihan Sadel becak;10;33000
55;Alat kebersihan Sapu gagang;10;10000
56;Alat kebersihan Sapu lidi aren;10;15120
57;Alat kebersihan Sapu lidi bertingkai;10;15120
58;Alat kebersihan sapu lidi biasa ;10;8190
59;Alat kebersihan Seker;10;1134000
60;Alat kebersihan Seker mesin chain saw / silinder blok assy;10;3654000
61;Alat kebersihan Seker mesin potong rumput / silinder blok assy;10;296100
62;Alat kebersihan Sekop;10;52920
63;Alat kebersihan Sekop;10;52920
64;Alat kebersihan Selang (2inch) hiprex / m;10;37800
65;Alat kebersihan Selang (2inch) hiprex / m;10;69300
66;Alat kebersihan Selang (3inch) hiprex / m;10;119700
67;Alat kebersihan Selang (3inch) spiral / m;10;63000
68;Alat kebersihan Selang air  3/4 inci;10;5670
69;Alat kebersihan Selang buang / rol ( 2inch x 50 m );10;1228500
70;Alat kebersihan Selang spiral 3 /m;10;69850
71;Alat kebersihan Selang spiral air 2 /m;10;56000
72;Alat kebersihan Seragam kerja;10;167650
73;Alat kebersihan Skrap gagang;10;15750
74;Alat kebersihan Sprayer tangan;10;28000
