1;ABC Dry Powder Catridge 1,2 Kg;42;192600
2;ABC Dry Powder Catridge 2 Kg;42;219000
3;ABC Dry Powder Catridge 3,5 Kg;42;262200
4;ABC Dry Powder Catridge 4,5 Kg;42;319800
5;ABC Dry Powder Catridge 6 Kg;42;399000
6;ABC Dry Powder Stored Pressure 1 Kg;42;93240
7;ABC Dry Powder Stored Pressure 1,5 Kg;42;116000
8;ABC Dry Powder Stored Pressure 10 Kg;42;436450
9;ABC Dry Powder Stored Pressure 12 Kg;42;514450
10;ABC Dry Powder Stored Pressure 2 Kg;42;138850
11;ABC Dry Powder Stored Pressure 2,25 Kg;42;149650
12;ABC Dry Powder Stored Pressure 20 Kg;42;786850
13;ABC Dry Powder Stored Pressure 25 Kg;42;966850
14;ABC Dry Powder Stored Pressure 3 Kg;42;183250
15;ABC Dry Powder Stored Pressure 3,5 Kg;42;206000
16;ABC Dry Powder Stored Pressure 4 Kg;42;228850
17;ABC Dry Powder Stored Pressure 4,5 Kg;42;250450
18;ABC Dry Powder Stored Pressure 40 Kg;42;1506850
19;ABC Dry Powder Stored Pressure 45 Kg;42;1686850
20;ABC Dry Powder Stored Pressure 5 Kg;42;273250
21;ABC Dry Powder Stored Pressure 50 Kg;42;1866850
22;ABC Dry Powder Stored Pressure 6 Kg;42;318850
23;ABC Dry Powder Stored Pressure 60 Kg;42;2226850
24;ABC Dry Powder Stored Pressure 68 Kg;42;2514850
25;ABC Dry Powder Stored Pressure 7 Kg;42;363250
26;ABC Dry Powder Stored Pressure 9 Kg;42;396850
27;Alat Komunikasi RIG ;10;7560000
28;Baju Tahan Api Morning Pride USA;10;22680000
29;Baju Tahan Api/Fire Safety Jacket;42;13692000
30;Baju tahan Panas Nomex IIA;10;15170400
31;Baret pemadam;10;81900
32;Box Hidrant Type c;18;4410000
33;Brandslang  1, 5 inci Knvas;42;3654000
34;Brandslang  1, 5 inci Rubber;42;6048000
35;Brandslang  2, 5 inci Knvas;42;4914000
36;Brandslang  2, 5 inci Rubber;42;8442000
37;Brandslang 1,5inci;42;4864200
38;Brandslang 2,5inci;42;4573800
39;Cairan CH53;42;36000
40;Carbon Dioxida (CO2) 10 Kg;42;327150
41;Carbon Dioxida (CO2) 15 Kg;42;327150
42;Carbon Dioxida (CO2) 2 Kg;42;147100
43;Carbon Dioxida (CO2) 2,3 Kg;42;160300
44;Carbon Dioxida (CO2) 20 Kg;42;772350
45;Carbon Dioxida (CO2) 23 Kg;42;880300
46;Carbon Dioxida (CO2) 25 Kg;42;809500
47;Carbon Dioxida (CO2) 3 Kg;42;192700
48;Carbon Dioxida (CO2) 3,5 Kg;42;214300
49;Carbon Dioxida (CO2) 30 Kg;42;1132350
50;Carbon Dioxida (CO2) 4,5 Kg;42;260000
51;Carbon Dioxida (CO2) 45 Kg;42;1672350
52;Carbon Dioxida (CO2) 5 Kg;42;282700
53;Carbon Dioxida (CO2) 6 Kg;42;327150
54;Carbon Dioxida (CO2) 6,8 Kg;42;327150
55;Compressor H- Tech 1/4 PK;10;3402000
56;DAHRIM Pemadam;10;56700
57;Emblem bordir;10;12600
58;Foam AB (Busa) 9 Lt;42;42000
59;Foam Liquid 30 Lt;42;156150
60;Foam Liquid 40 Lt;42;1225000
61;Foam Liquid 6 Lt;42;261400
62;Foam Liquid 60 Lt;42;1801000
63;Foam Liquid 80 Lt;42;2376950
64;Foam Liquid 9 Lt;42;345400
65;Full face mask;10;5544000
66;Halon AF II 1 Kg;42;181000
67;Halon AF II 1,5 Kg;42;248200
68;Halon AF II 12 Kg;42;133300
69;Halon AF II 2,3 Kg;42;332200
70;Halon AF II 20 Kg;42;2197000
71;Halon AF II 3,5 Kg;42;448650
72;Halon AF II 6 Kg;42;741500
73;Halon AF II 9 Kg;42;1093100
74;Helm Standar Firefort XLT;10;2394000
75;Kapak saku Pemadam;10;441000
76;Kopel Petrekat RIEM;10;94500
77;Kran Valve 1/4;10;226800
78;Masker fireness;42;1048572
79;Masker fireness(cartrid filter masker) ;42;1077300
80;Masker Penahan Asap/Full Fase Musk;42;6804000
81;meter Kontrol;10;84000
82;Nozzle Jet;10;4662000
83;Nozzle Jet 1,5inci;42;4036550
84;Nozzle Jet 2,5inci;10;4036550
85;Nozzle T inci;10;8820000
86;Nozzle Variabel 1,5inci;42;7042200
87;Nozzle Variabel 2,5inci;42;7042200
88;Pistol spray;10;16758000
89;Pressing Siel;10;42000
90;Regulator N2;10;1512000
91;Sarung tangan tahan Api Firefort AL-09;10;1512000
92;Selang Hidrolis 250 Bar + Nepel Shoc;10;1512000
93;Sepatu Safety pemadam Panjgang;44;1071000
94;Sepatu Safety pemadam Pendek;44;882000
95;Sepatu tahan api;44;1890000
96;Siel;3;18000
97;Sirine light bar strobo;10;9135000
98;Slinder N2 Kap 7 m3;10;4536000
99;Switer Pemadam;10;170100
100;Tanda Pangkat Emblem Bahan  Plat logam;10;1008000
101;Y Connection;10;6930000
