1;Jam Dinding;18;
2;Jam Beker;18;25000
3;Kipas angin Desk fan kecil                                                                 ;18;95000
4;Kipas angin Desk fan sedang                                                               ;18;145000
5;Kipas angin Desk fan besar ;18;240000
6;Kipas angin Box fan sedang;18;165000
7;Kipas angin Box fan besar;18;295000
8;Kipas angin Kipas angin berdiri;18;370000
9;Kipas angin Kipas angin gantung;18;185000
10;Kipas angin Kipas angin dinding;18;350000
11;Kipas angin Kipas angin ventilasi dinding;18;225000
12;Kipas angin ventilasi plafon;18;245000
13;Air Cleaner                                              ;18;2064000
14;Lemari Es Satu pintu kecil (untuk kamar RS / Mess);18;1340000
15;Lemari Es Satu pintu sedang;18;1835000
16;Lemari Es Satu pintu besar;18;2235000
17;Lemari Es Dua pintu sedang;18;3400000
18;Lemari Es Dua pintu besar;18;4780000
19;Lemari Es Tipe Hot / Cold;18;1750000
20;Lemari Es Freezer sedang ;18;2600000
21;Lemari Es Freezer besar;18;6300000
22;Air Conditioner ( AC) Split ½ s/d 1 pk;10;4000000
23;Air Conditioner ( AC) Split 1 ½ pk;10;5000000
24;Air Conditioner ( AC) Split 2 pk;10;7000000
25;Air Conditioner ( AC) AC Floor standing 2 pk;10;8000000
26;Air Conditioner ( AC) AC Floor standing 5 pk;10;20000000
27;Televisi Berwarna  14 inci Flat;18;850000
28;Televisi Berwarna  14 inci Flat stereo;18;1050000
29;Televisi Berwarna  21 inci Flat;18;1875000
30;Televisi Berwarna  29 inci Flat;18;3000000
31;Televisi Berwarna  25 inci LCD TV;18;7150000
32;Televisi Berwarna  32 inci LCD TV;18;12000000
33;Televisi Berwarna  32 inci Plasma TV;18;11700000
34;Televisi Berwarna 42 inci Plasma TV;18;19100000
35;Televisi Berwarna 24 inci LED;18;22000000
36;VCD Player;18;150000
37;DVD Player;18;350000
38;Mini Compo;18;365000
39;Hifi Compo;18;1260000
40;Mini Compo CD;18;850000
41;Hifi Compo CD;18;1850000
42;Home Teater;18;2400000
43;Aktif Speaker;18;600000
44;Radio;18;125000
45;Camera Pocket digital;18;2000000
46;Camera SLR Digital 5 s/d 7 MP;18;6300000
47;Kelengkapan KameraLampu blite;18;600000
48;Kelengkapan Kamera Tripot;18;500000
49;Kamera DSRL;18;10000000
50;Kelengkapan Kamera Telezoom;18;8000000
51;Handycam;18;6000000
52;LCD Proyektor ANSI Lumens 3000;18;13000000
53;Pengeras Suara Horn / TOA;18;500000
54;Pengeras Suara PA Amplifier 25 watt;18;600000
55;Pengeras Suara PA Amplifier 30 watt;18;750000
56;Pengeras Suara PA Amplifier 60 watt;18;850000
57;Pengeras Suara PA Amplifier 120 watt;18;1250000
58;Pengeras Suara Colum speaker 10 watt;18;541000
59;Pengeras Suara Colum speaker 20 watt;18;709000
60;Pengeras Suara Box speaker;18;350000
61;Pengeras Suara Mega Phone;18;165000
62;Pengeras Suara Mega Phone 6 Watt;18;397000
63;Pengeras Suara Mega Phone + Sirine 6 Watt;18;445200
64;Pengeras Suara Mega Phone 15 Watt;18;550000
65;Pengeras Suara Mega Phone 15 Watt + sirine;18;595200
66;Pengeras Suara Magnic Meja;18;75000
67;Pengeras Suara Tiang Mic berdiri/ mic holder;18;175000
68;Pengeras Suara Mixer 8 CH Built Up;18;35000000
69;Pengeras Suara Audio Prossesor Built Up;18;25000000
70;Pengeras Suara Power Audio Control;18;2000000
71;Pengeras Suara Tuner FM;18;1500000
72;Pengeras Suara Stodio Standart MIC;18;1200000
73;Pengeras Suara Standing Mic Arm;18;1500000
74;Pengeras Suara Magnetic Tape Recorder;18;5000000
75;Pengeras Suara Exciter;18;7000000
76;Pengeras Suara Built Up RVR Booster;18;125000000
77;Pengeras Suara Antenna 4 Bay Built Up;18;20000000
78;Pengeras Suara Wireless microphone;18;4000000
79;Pengeras Suara Telepon Ruangan;18;2000000
80;Alat-alat Listrik Tespen;10;10000
81;Alat-alat Listrik Aiqua Klem Jaringan Standar;10;7000
82;Alat-alat Listrik Angkur baut dudukan;10;33000
83;Alat-alat Listrik Arde (kawat tembaga) O 25 mm;6;32500
84;Alat-alat Listrik Arde (kawat tembaga) O 50 mm;6;45500
85;Alat-alat Listrik Bolam HPIT 250 Watt;10;942500
86;Alat-alat Listrik Bolam HPIT 400 Watt;10;1105000
87;Alat-alat Listrik Bolam HPIT 80 Watt;10;92300
88;Alat-alat Listrik Bolam HPLN 250 Watt;10;162500
89;Alat-alat Listrik Bolam HPLN SON H 250 Watt;10;292500
90;Alat-alat Listrik Bolam HPLN SON H 350 Watt;10;395000
91;Alat-alat Listrik Bolam Pijar 100 Watt;10;13000
92;Alat-alat Listrik Bolam SL 18 Watt;10;74750
93;Alat-alat Listrik Box MCB 125 Watt;10;11050
94;Alat-alat Listrik Box MCB 25 KVA;10;140000
95;Alat-alat Listrik Box MCB 350 Watt;10;11050
96;Alat-alat Listrik Box MCB 400 Watt;10;11050
97;Alat-alat Listrik Box MCB 50 KVA;10;140000
98;Alat-alat Listrik Box meter;10;364000
99;Alat-alat Listrik Box Sekering 10 A;10;48100
100;Alat-alat Listrik Box Sekering 6 A;10;32500
101;Alat-alat Listrik Circle*20 watt;10;44200
102;Alat-alat Listrik Circle*30 watt;10;58500
103;Alat-alat Listrik Fitting gantung 125 Watt;10;39000
104;Alat-alat Listrik Fitting gantung 250 Watt;10;58500
105;Alat-alat Listrik Fitting Mercury/LHE 125 Watt;10;58500
106;Alat-alat Listrik Fitting Mercury/LHE 250 Watt;10;45500
107;Alat-alat Listrik Fitting Porselin;10;7000
108;Alat-alat Listrik Fitting porselin;10;67600
109;Alat-alat Listrik Folding Gate;9;802500
110;Alat-alat Listrik Foto Cell 10 A;10;149500
111;Alat-alat Listrik Foto Cell 3 A;10;71500
112;Alat-alat Listrik Foto Cell 6 A;10;111800
113;Alat-alat Listrik Fotto Cell 10 A;10;159965
114;Alat-alat Listrik Fuse 10 A;10;94000
115;Alat-alat Listrik Fuse 3 A;10;62000
116;Alat-alat Listrik Fuse 6 A;10;78000
117;Alat-alat Listrik Ignator;10;105300
118;Alat-alat Listrik Isolasi PVC;10;10150
119;Alat-alat Listrik Isolasi Unibel Besar;10;10400
120;Alat-alat Listrik Kabel DX 2 x 10 mm;6;UP
121;Alat-alat Listrik Kabel DX 2 x 16 mm;6;12350
122;Alat-alat Listrik Kabel DX 2 x 16 mm;6;UP
123;Alat-alat Listrik Kabel Listrik 1,50 mm;6;4000
124;Alat-alat Listrik Kabel listrik 1,50 mm NYA/100 M;6;UP
