8f98c6ec-b142-11e6-bc95-6cae8b5ed6e0,SDN  MAJENANG I,sdn.majenang1
8f98c928-b142-11e6-bc95-6cae8b5ed6e0,SDN  MAJENANG II,sdn.majenang2
8f98cb65-b142-11e6-bc95-6cae8b5ed6e0,SDN  MAJENANG III,sdn.majenang3
8f98cda1-b142-11e6-bc95-6cae8b5ed6e0,SDN  BALEHARJO I,sdn.baleharjo1
8f98cfdc-b142-11e6-bc95-6cae8b5ed6e0,SDN  BALEHARJO II,sdn.baleharjo2
8f98d219-b142-11e6-bc95-6cae8b5ed6e0,SDN  BALEHARJO III,sdn.baleharjo3
8f98d455-b142-11e6-bc95-6cae8b5ed6e0,SDN  GEBANG I,sdn.gebang1
8f98d711-b142-11e6-bc95-6cae8b5ed6e0,SDN  GEBANG II,sdn.gebang2
8f98d930-b142-11e6-bc95-6cae8b5ed6e0,SDN  GEBANG III,sdn.gebang3
8f98db6d-b142-11e6-bc95-6cae8b5ed6e0,SDN  NEWUNG I,sdn.newung1
8f98dd8a-b142-11e6-bc95-6cae8b5ed6e0,SDN  NEWUNG II,sdn.newung2
8f98dfaa-b142-11e6-bc95-6cae8b5ed6e0,SDN  NEWUNG III,sdn.newung3
8f98e1ce-b142-11e6-bc95-6cae8b5ed6e0,SDN  KARANGANOM    I,sdn.karanganom1
8f98e3f5-b142-11e6-bc95-6cae8b5ed6e0,SDN  KARANGANOM   II,sdn.karanganom2
8f98e616-b142-11e6-bc95-6cae8b5ed6e0,SDN  PANTIREJO I,sdn.patirejo1
8f98e839-b142-11e6-bc95-6cae8b5ed6e0,SDN  PANTIREJO II,sdn.patirejo2
8f98ea5c-b142-11e6-bc95-6cae8b5ed6e0,SDN  JATITENGAH I,sdn.jatitengah1
8f98ec7f-b142-11e6-bc95-6cae8b5ed6e0,SDN  JATITENGAH II,sdn.jatitengah2
8f98ee9f-b142-11e6-bc95-6cae8b5ed6e0,SDN  JUWOK I,sdn.juwok1
8f98f0c1-b142-11e6-bc95-6cae8b5ed6e0,SDN  JUWOK II,sdn.juwok2
8f98f2e0-b142-11e6-bc95-6cae8b5ed6e0,SDN  BENDO I,sdn.bendo1
8f98f501-b142-11e6-bc95-6cae8b5ed6e0,SDN  BENDO II,sdn.bendo2
8f98f724-b142-11e6-bc95-6cae8b5ed6e0,SDN  BENDO III,sdn.bendo3
