NO;KODE BARANG;NAMA BARANG;SATUAN;SALDO AWAL;HARGA;TOTAL
2c0001f6-7fc9-11e6-aed5-000476f4fa98;2.5.96;Reagen gol darah anti A;vial;;;
2c000c38-7fc9-11e6-aed5-000476f4fa98;2.5.97;Reagen gol darah anti B;vial;;;
2c00172e-7fc9-11e6-aed5-000476f4fa98;2.5.98;Reagen gol darah anti C;vial;;;
2c002149-7fc9-11e6-aed5-000476f4fa98;2.5.99;Reagen gol darah anti D;vial;;;
2c002b90-7fc9-11e6-aed5-000476f4fa98;2.5.100;Reagen Gula Darah Ellitech;kit;;;
2c0035b5-7fc9-11e6-aed5-000476f4fa98;2.5.101;Reagen Uric Acid Ellitech;kit;;;
2c003ffa-7fc9-11e6-aed5-000476f4fa98;2.5.102;Reagen Cholesterol Ellitech;kit;;;
2c004a12-7fc9-11e6-aed5-000476f4fa98;2.5.103;Rgn Ureum;kit;;;
2c005418-7fc9-11e6-aed5-000476f4fa98;2.5.104;Rgn SGPT;kit;;;
2c005e32-7fc9-11e6-aed5-000476f4fa98;2.5.105;Rgn SGOT;kit;;;
2c006858-7fc9-11e6-aed5-000476f4fa98;2.5.106;Rgn Creatinin;kit;;;
2c00728b-7fc9-11e6-aed5-000476f4fa98;2.5.107;Na2SO4;kg;;;
2c007cd6-7fc9-11e6-aed5-000476f4fa98;2.5.108;K2HPO4;kg;;;
2c0087d5-7fc9-11e6-aed5-000476f4fa98;2.5.109;KH2PO4;kg;;;
2c00920e-7fc9-11e6-aed5-000476f4fa98;2.5.110;NH4Cl;kg;;;
2c009c5a-7fc9-11e6-aed5-000476f4fa98;2.5.111;NaOH;kg;;;
2c00a768-7fc9-11e6-aed5-000476f4fa98;2.5.112;MgSO4.7H2O;kg;;;
2c00b188-7fc9-11e6-aed5-000476f4fa98;2.5.113;CaCl;kg;;;
2c00bbcb-7fc9-11e6-aed5-000476f4fa98;2.5.114;FeCl3.6H2O;gr;;;
2c00c616-7fc9-11e6-aed5-000476f4fa98;2.5.115;Glukosa;gr;;;
2c00d087-7fc9-11e6-aed5-000476f4fa98;2.5.116;Asam Glutamat;gr;;;
2c00dcb0-7fc9-11e6-aed5-000476f4fa98;2.5.117;H2SO4;l;;;
2c00e533-7fc9-11e6-aed5-000476f4fa98;2.5.118;MnSO4.4H2O;kg;;;
2c00edb3-7fc9-11e6-aed5-000476f4fa98;2.5.119;KI;gr;;;
2c00f639-7fc9-11e6-aed5-000476f4fa98;2.5.120;NaN3;gr;;;
2c00ff9c-7fc9-11e6-aed5-000476f4fa98;2.5.121;Amilum;gr;;;
2c01085b-7fc9-11e6-aed5-000476f4fa98;2.5.122;Na2S2O3.5H2O;kg;;;
2c011115-7fc9-11e6-aed5-000476f4fa98;2.5.123;K2Cr2O7;gr;;;
2c011a26-7fc9-11e6-aed5-000476f4fa98;2.5.124;HgSO4;gr;;;
2c012335-7fc9-11e6-aed5-000476f4fa98;2.5.125;Ag2SO4;gr;;;
2c012d26-7fc9-11e6-aed5-000476f4fa98;2.5.126;NH2SO3H;gr;;;
2c0135bb-7fc9-11e6-aed5-000476f4fa98;2.5.127;KHP;gr;;;
2c013e6a-7fc9-11e6-aed5-000476f4fa98;2.5.128;n-hexan;l;;;
2c014708-7fc9-11e6-aed5-000476f4fa98;2.5.129;KCL;gr;;;
2c014fbc-7fc9-11e6-aed5-000476f4fa98;2.5.130;Fenol;l;;;
2c015892-7fc9-11e6-aed5-000476f4fa98;2.5.131;Na2HPO4.7H2O;kg;;;
2c01618d-7fc9-11e6-aed5-000476f4fa98;2.5.132;Alkalin citrat;gr;;;
2c016a71-7fc9-11e6-aed5-000476f4fa98;2.5.133;Natrium Nitroprucit;mg;;;
2c01734f-7fc9-11e6-aed5-000476f4fa98;2.5.134;Etil Alkohol;l;;;
2c017c1a-7fc9-11e6-aed5-000476f4fa98;2.5.135;Aseton;l;;;
2c01850c-7fc9-11e6-aed5-000476f4fa98;2.5.136;Asam Fosfat;l;;;
2c018e06-7fc9-11e6-aed5-000476f4fa98;2.5.137;1,5 Difenil Karboksida;mg;;;
2c0196ff-7fc9-11e6-aed5-000476f4fa98;2.5.138;K4Fe(CN)6;gr;;;
2c019ffa-7fc9-11e6-aed5-000476f4fa98;2.5.139;KH(IO3)2;gr;;;
2c01aa67-7fc9-11e6-aed5-000476f4fa98;2.5.140;alkil Sulfonal Linier;gr;;;
2c01b33e-7fc9-11e6-aed5-000476f4fa98;2.5.141;C20H14O4;gr;;;
2c01bcaa-7fc9-11e6-aed5-000476f4fa98;2.5.142;H2O2 30%;gr;;;
2c01c5ab-7fc9-11e6-aed5-000476f4fa98;2.5.143;NaH2PO4.H2O;kg;;;
2c01ce8b-7fc9-11e6-aed5-000476f4fa98;2.5.144;C6H8O6;gr;;;
2c01d780-7fc9-11e6-aed5-000476f4fa98;2.5.145;(NH4)6Mo7O24*4H2O;gr;;;
2c01e08d-7fc9-11e6-aed5-000476f4fa98;2.5.146;K(SbO)C4H4O2.1/2H2O;gr;;;
2c01e974-7fc9-11e6-aed5-000476f4fa98;2.5.147;HCL;l;;;
2c01f25d-7fc9-11e6-aed5-000476f4fa98;2.5.148;NaCl;gr;;;
2c01fc13-7fc9-11e6-aed5-000476f4fa98;2.5.149;C11H13N3O;gr;;;
2c02051e-7fc9-11e6-aed5-000476f4fa98;2.5.150;KBrO3;gr;;;
2c020e1a-7fc9-11e6-aed5-000476f4fa98;2.5.151;KBr;gr;;;
2c021726-7fc9-11e6-aed5-000476f4fa98;2.5.152;Metil Jingga;gr;;;
2c022028-7fc9-11e6-aed5-000476f4fa98;2.5.153;NH4OH;gr;;;
2c022a0d-7fc9-11e6-aed5-000476f4fa98;2.5.154;I2;gr;;;
2c023317-7fc9-11e6-aed5-000476f4fa98;2.5.155;Buffer PH4;ml;;;
2c023c2e-7fc9-11e6-aed5-000476f4fa98;2.5.156;Buffer Ph10;ml;;;
2c024534-7fc9-11e6-aed5-000476f4fa98;2.5.157;Na2S2O3;gr;;;
2c024e4d-7fc9-11e6-aed5-000476f4fa98;2.5.158;NaClO;gr;;;
2c0257e2-7fc9-11e6-aed5-000476f4fa98;2.5.159;NaAsO2;gr;;;
2c026160-7fc9-11e6-aed5-000476f4fa98;2.5.160;C23H26N2O4;gr;;;
2c026a93-7fc9-11e6-aed5-000476f4fa98;2.5.161;C6H7NO3S;gr;;;
2c0273cd-7fc9-11e6-aed5-000476f4fa98;2.5.162;KNO3;gr;;;
2c027d0c-7fc9-11e6-aed5-000476f4fa98;2.5.163;H2SO4;l;;;
2c028665-7fc9-11e6-aed5-000476f4fa98;2.5.164;Kertas Saring Grade 42;pack;;;
2c028fa6-7fc9-11e6-aed5-000476f4fa98;2.5.165;HNO3;l;;;
2c0298f8-7fc9-11e6-aed5-000476f4fa98;2.5.166;Pupuk Herbisida;l;;;
2c02a243-7fc9-11e6-aed5-000476f4fa98;2.5.167;Pupuk Furadan;kg;;;
2c02cbd6-7fc9-11e6-aed5-000476f4fa98;2.5.168;Pupuk Insektisida Monior 1/2;l;;;
2c02d5dd-7fc9-11e6-aed5-000476f4fa98;2.5.169;Pupuk KCL;kg;;;
2c02df25-7fc9-11e6-aed5-000476f4fa98;2.5.170;Pupuk NPK;kg;;;
2c02e89e-7fc9-11e6-aed5-000476f4fa98;2.5.171;Pupuk Obat Penyemprot Lalat;l;;;
2c02f2a8-7fc9-11e6-aed5-000476f4fa98;2.5.172;Pupuk Phonska;kg;;;
2c02fc5f-7fc9-11e6-aed5-000476f4fa98;2.5.173;Pupuk Organik Fermentasi;kg;;;
2c0305cf-7fc9-11e6-aed5-000476f4fa98;2.5.174;Pupuk Roundup;l;;;
2c030f50-7fc9-11e6-aed5-000476f4fa98;2.5.175;Selang Air 3 inci/m;m;;;
2c0319a6-7fc9-11e6-aed5-000476f4fa98;2.5.176;Selang Spiral 3 inci/m;m;;;
2c03233b-7fc9-11e6-aed5-000476f4fa98;2.5.177;Pupuk SP 36;kg;;;
2c032cda-7fc9-11e6-aed5-000476f4fa98;2.5.178;Tangki semprot 14 liter;unit;;;
2c03364f-7fc9-11e6-aed5-000476f4fa98;2.5.179;Pupuk Urea;kg;;;
2c033fd2-7fc9-11e6-aed5-000476f4fa98;2.5.180;Pupuk ZA;kg;;;
2c0349d3-7fc9-11e6-aed5-000476f4fa98;2.5.181;Obat-obatan/Pestisida Applaud 10 WH/pestisida sejenis;kg;;;
2c03545c-7fc9-11e6-aed5-000476f4fa98;2.5.182;Obat-obatan/Pestisida Applaud Cair;l;;;
2c035e07-7fc9-11e6-aed5-000476f4fa98;2.5.183;Obat-obatan/Pestisida Applaud WWP;kg;;;
2c0367ac-7fc9-11e6-aed5-000476f4fa98;2.5.184;Obat-obatan/Pestisida Arivo;l;;;
2c037161-7fc9-11e6-aed5-000476f4fa98;2.5.185;Obat-obatan/Pestisida Bassa;l;;;
2c037b27-7fc9-11e6-aed5-000476f4fa98;2.5.186;Obat-obatan/Pestisida Baycard 500 EC;l;;;
2c0384e8-7fc9-11e6-aed5-000476f4fa98;2.5.187;Obat-obatan/Pestisida Benlate L;kg;;;
2c038f2c-7fc9-11e6-aed5-000476f4fa98;2.5.188;Obat-obatan/Pestisida Buldok 25 EC;kg;;;
2c03992c-7fc9-11e6-aed5-000476f4fa98;2.5.189;Obat-obatan/Pestisida Darmabas;l;;;
