NO;KODE BARANG;NAMA BARANG;SATUAN;SALDO AWAL;HARGA;TOTAL
3e54b64e-7fc8-11e6-aed5-000476f4fa98;1.1.1;Kertas HVS 60 gr Double Folio ;rim;9;10.000;90.000
3e56de5f-7fc8-11e6-aed5-000476f4fa98;1.1.2;Kertas HVS 60 gr Folio ;rim;9;10.000;90.000
3e56e763-7fc8-11e6-aed5-000476f4fa98;1.1.3;Kertas HVS 60 gr Kwarto ;rim;9;10.000;90.000
3e56eff5-7fc8-11e6-aed5-000476f4fa98;1.1.4;Kertas HVS 70 gr Double Folio ;rim;9;10.000;90.000
3e56f838-7fc8-11e6-aed5-000476f4fa98;1.1.5;Kertas HVS 70 gr Folio ;rim;9;10.000;90.000
3e57006e-7fc8-11e6-aed5-000476f4fa98;1.1.6;Kertas HVS 70 gr Kwarto ;rim;9;10.000;90.000
3e5708bb-7fc8-11e6-aed5-000476f4fa98;1.1.7;Kertas HVS 80 gr Double Folio;rim;9;10.000;90.000
3e57110d-7fc8-11e6-aed5-000476f4fa98;1.1.8;Kertas HVS 80 gr Folio ;rim;9;10.000;90.000
3e571950-7fc8-11e6-aed5-000476f4fa98;1.1.9;Kertas HVS 80 gr Kwarto ;rim;;;
3e572185-7fc8-11e6-aed5-000476f4fa98;1.1.10;Kertas Asturo;lbr;;;
3e5729ba-7fc8-11e6-aed5-000476f4fa98;1.1.11;Kertas Dooslag ;rim;;;
3e57321a-7fc8-11e6-aed5-000476f4fa98;1.1.12;Kertas Dooslag Folio Berwarna;rim;;;
3e573adc-7fc8-11e6-aed5-000476f4fa98;1.1.13;Kertas Dooslag Plara;lbr;;;
3e5743ee-7fc8-11e6-aed5-000476f4fa98;1.1.14;Kertas Duplikatar;pack;;;
3e574c72-7fc8-11e6-aed5-000476f4fa98;1.1.15;Kertas Folio Bergaris;pack;;;
3e5754f8-7fc8-11e6-aed5-000476f4fa98;1.1.16;Kertas HVS Folio Berwarna ;rim;;;
3e575d80-7fc8-11e6-aed5-000476f4fa98;1.1.17;Kertas Karton No 100 Plara;pack;;;
3e57661c-7fc8-11e6-aed5-000476f4fa98;1.1.18;Kertas Karton No 120 Plara;pack;;;
3e576f5a-7fc8-11e6-aed5-000476f4fa98;1.1.19;Kertas Karton No 140 Plara;pack;;;
3e577869-7fc8-11e6-aed5-000476f4fa98;1.1.20;Kertas Kraaf Sampul;lbr;;;
3e5780e4-7fc8-11e6-aed5-000476f4fa98;1.1.21;Kertas Line Ao;pack;;;
3e578975-7fc8-11e6-aed5-000476f4fa98;1.1.22;Kertas Manila kartor;lbr;;;
3e5791f7-7fc8-11e6-aed5-000476f4fa98;1.1.23;Kertas Roneo;pack;;;
3e579a8c-7fc8-11e6-aed5-000476f4fa98;1.1.24;Kertas Roti;lbr;;;
3e57a333-7fc8-11e6-aed5-000476f4fa98;1.1.25;Kertas Sheet;rim;;;
3e57abf4-7fc8-11e6-aed5-000476f4fa98;1.1.26;Kertas Stiker  ;lbr;;;
3e57b552-7fc8-11e6-aed5-000476f4fa98;1.1.27;Kertas Tissu ;pack;;;
3e57bfd3-7fc8-11e6-aed5-000476f4fa98;1.1.28;Kertas Milimeter Double Folio;buku;;;
3e57c887-7fc8-11e6-aed5-000476f4fa98;1.1.29;Kertas Milimeter Folio;buku;;;
3e57d128-7fc8-11e6-aed5-000476f4fa98;1.1.30;Kertas Milimeter 105 cm;gulung;;;
3e57d9cf-7fc8-11e6-aed5-000476f4fa98;1.1.31;Karbon Double Folio;pack;;;
3e57e273-7fc8-11e6-aed5-000476f4fa98;1.1.32;Karbon Folio;pack;;;
3e57eb2a-7fc8-11e6-aed5-000476f4fa98;1.1.33;Binder Clips No. 107;dus;;;
3e57f3ea-7fc8-11e6-aed5-000476f4fa98;1.1.34;Binder Clips No. 111;dus;;;
3e57fc9e-7fc8-11e6-aed5-000476f4fa98;1.1.35;Binder Clips No. 155;dus;;;
3e580563-7fc8-11e6-aed5-000476f4fa98;1.1.36;Binder Clips No. 200;dus;;;
3e580e7c-7fc8-11e6-aed5-000476f4fa98;1.1.37;Binder Clips No. 260;dus;;;
3e5817e7-7fc8-11e6-aed5-000476f4fa98;1.1.38;Buku Blocknote;buah;;;
3e582130-7fc8-11e6-aed5-000476f4fa98;1.1.39;Buku Ekspedi (Isi 100 lbr);buah;;;
3e582a24-7fc8-11e6-aed5-000476f4fa98;1.1.40;Buku Folio ( Isi 200 lbr);buah;;;
3e583309-7fc8-11e6-aed5-000476f4fa98;1.1.41;Buku Folio Isi 300;buah;;;
3e583bec-7fc8-11e6-aed5-000476f4fa98;1.1.42;Buku Folio Isi 400;buah;;;
3e5844df-7fc8-11e6-aed5-000476f4fa98;1.1.43;Buku Folio Isi 500;buah;;;
3e584dec-7fc8-11e6-aed5-000476f4fa98;1.1.44;Buku Kas Folio (Isi 100 lbr);buah;;;
3e58570d-7fc8-11e6-aed5-000476f4fa98;1.1.45;Buku Kas Kwarto ( Isi 100 lbr);buah;;;
3e58601b-7fc8-11e6-aed5-000476f4fa98;1.1.46;Buku Kwarto garis ( Isi 100 lbr);buah;;;
3e58694c-7fc8-11e6-aed5-000476f4fa98;1.1.47;Buku Kwitansi Besar;buah;;;
3e587265-7fc8-11e6-aed5-000476f4fa98;1.1.48;Buku Kwitansi Kecil;buah;;;
3e587b81-7fc8-11e6-aed5-000476f4fa98;1.1.49;Buku Tulis Isi 100 lbr;buah;;;
3e58849d-7fc8-11e6-aed5-000476f4fa98;1.1.50;Buku Tulis Isi 32 lbr;buah;;;
3e588dca-7fc8-11e6-aed5-000476f4fa98;1.1.51;Buku Tulis Isi 38 lbr;buah;;;
3e58970b-7fc8-11e6-aed5-000476f4fa98;1.1.52;Buku Tulis Isi 58 lbr;buah;;;
3e58a0ec-7fc8-11e6-aed5-000476f4fa98;1.1.53;Buku Tulis Isi 78 lbr;buah;;;
3e58ab7b-7fc8-11e6-aed5-000476f4fa98;1.1.54;Spidol Besar (isi 12 Buah);pack;;;
3e58b4b5-7fc8-11e6-aed5-000476f4fa98;1.1.55;Spidol Boardmaker;buah;;;
3e58bddf-7fc8-11e6-aed5-000476f4fa98;1.1.56;Spidol kecil ( 12 Warna);pack;;;
3e58c6fe-7fc8-11e6-aed5-000476f4fa98;1.1.57;Spidol kecil ( 6 Warna );pack;;;
3e58d012-7fc8-11e6-aed5-000476f4fa98;1.1.58;Spidol Permanen Besar;buah;;;
3e58d954-7fc8-11e6-aed5-000476f4fa98;1.1.59;Spidol Transparan 4 Warna;pack;;;
3e58e27d-7fc8-11e6-aed5-000476f4fa98;1.1.60;Spidol Transparan 6 Warna;pack;;;
3e58ebb4-7fc8-11e6-aed5-000476f4fa98;1.1.61;Spidol Transparan 8 Warna;pack;;;
3e58f4fe-7fc8-11e6-aed5-000476f4fa98;1.1.62;Isi Ballpoin Parker/sheaffer;buah;;;
3e58fe48-7fc8-11e6-aed5-000476f4fa98;1.1.63;Isi Ballpoin Pentel;buah;;;
3e590776-7fc8-11e6-aed5-000476f4fa98;1.1.64;Isi Ballpoin Pilot;buah;;;
3e5910db-7fc8-11e6-aed5-000476f4fa98;1.1.65;Isi Ballpoin Plastik Pendek;buah;;;
3e591a29-7fc8-11e6-aed5-000476f4fa98;1.1.66;Bollpoin Basah;buah;;;
3e592362-7fc8-11e6-aed5-000476f4fa98;1.1.67;Bollpoin Gel;buah;;;
3e592cbc-7fc8-11e6-aed5-000476f4fa98;1.1.68;Bollpoin Kering;buah;;;
3e593628-7fc8-11e6-aed5-000476f4fa98;1.1.69;Bollpoin Pentel;buah;;;
3e593f90-7fc8-11e6-aed5-000476f4fa98;1.1.70;Pensil Biasa 2 B;buah;;;
3e5949c3-7fc8-11e6-aed5-000476f4fa98;1.1.71;Pensil Gambar;buah;;;
3e595324-7fc8-11e6-aed5-000476f4fa98;1.1.72;Pensil Mekanik;buah;;;
3e595ca6-7fc8-11e6-aed5-000476f4fa98;1.1.73;Pensil Merah/Biru 2 B;buah;;;
3e596648-7fc8-11e6-aed5-000476f4fa98;1.1.74;Pensil Warna ( 12 Warna );buah;;;
3e596fca-7fc8-11e6-aed5-000476f4fa98;1.1.75;Penghapus Cair;set;;;
3e597939-7fc8-11e6-aed5-000476f4fa98;1.1.76;Penghapus Cair;botol;;;
3e5982d6-7fc8-11e6-aed5-000476f4fa98;1.1.77;Penghapus Kering;buah;;;
3e598c70-7fc8-11e6-aed5-000476f4fa98;1.1.78;Lem Cair Besar;botol;;;
3e59969b-7fc8-11e6-aed5-000476f4fa98;1.1.79;Lem Cair Kecil;botol;;;
3e59a215-7fc8-11e6-aed5-000476f4fa98;1.1.80;Lem Cair Tanggung;botol;;;
3e59ab98-7fc8-11e6-aed5-000476f4fa98;1.1.81;Lem Kental Besar;buah;;;
3e59b525-7fc8-11e6-aed5-000476f4fa98;1.1.82;Lem Kental Kecil ;buah;;;
3e59bec3-7fc8-11e6-aed5-000476f4fa98;1.1.83;Lem Kental Fox (1/2 kg);buah;;;
3e59c851-7fc8-11e6-aed5-000476f4fa98;1.1.84;Lem Kental Tanggung;buah;;;
3e59d1eb-7fc8-11e6-aed5-000476f4fa98;1.1.85;Lem Stik / Blue Stik 30 ml;buah;;;
3e59db92-7fc8-11e6-aed5-000476f4fa98;1.1.86;Lem Stik / Blue Stik 20 ml;buah;;;
3e59e603-7fc8-11e6-aed5-000476f4fa98;1.1.87;Karet Penghapus/ Setip Biasa;buah;;;
3e59efa4-7fc8-11e6-aed5-000476f4fa98;1.1.88;Karet Penghapus/ Setip Kombinasi;buah;;;
3e59f924-7fc8-11e6-aed5-000476f4fa98;1.1.89;Pita komputer;gulung;;;
3e5a02cd-7fc8-11e6-aed5-000476f4fa98;1.1.90;Pita Mesin Ketik Rol Besar;gulung;;;
3e5a0c82-7fc8-11e6-aed5-000476f4fa98;1.1.91;Pita Mesin Ketik Rol kombinasi;gulung;;;
3e5a162d-7fc8-11e6-aed5-000476f4fa98;1.1.92;Pita Mesin KetikRol Kecil;gulung;;;
3e5a1fd6-7fc8-11e6-aed5-000476f4fa98;1.1.93;Kertas Telex 2 ply;gulung;;;
3e5a2975-7fc8-11e6-aed5-000476f4fa98;1.1.94;Kertas Telex 4 ply;gulung;;;
3e5a3332-7fc8-11e6-aed5-000476f4fa98;1.1.95;Staples Besar HD - 50;buah;;;
3e5a3cf6-7fc8-11e6-aed5-000476f4fa98;1.1.96;Staples Kecil  HD - 10;buah;;;
3e5a46c0-7fc8-11e6-aed5-000476f4fa98;1.1.97;Staples Besar HD - 24 S 10;buah;;;
3e5a507d-7fc8-11e6-aed5-000476f4fa98;1.1.98;hecneces;buah;;;
3e5a5a5c-7fc8-11e6-aed5-000476f4fa98;1.1.99;Isi Staples Besar (No 23/10-H);buah;;;
3e5a644c-7fc8-11e6-aed5-000476f4fa98;1.1.100;Isi Staples Besar (No 24/6/330);buah;;;
3e5a6e3e-7fc8-11e6-aed5-000476f4fa98;1.1.101;Isi Staples Kecil  ( No 10 );buah;;;
3e5a7823-7fc8-11e6-aed5-000476f4fa98;1.1.102;Stopmap Boal / Batik;buah;;;
3e5a846f-7fc8-11e6-aed5-000476f4fa98;1.1.103;Stopmap Cetak Lembaga ;buah;;;
3e5a8e8d-7fc8-11e6-aed5-000476f4fa98;1.1.104;Stopmap Folio  Kertas;buah;;;
3e5a993d-7fc8-11e6-aed5-000476f4fa98;1.1.105;Stopmap Plastik;buah;;;
3e5aa468-7fc8-11e6-aed5-000476f4fa98;1.1.106;Stopmap Plastik Tipis Berkancing/Bertali;buah;;;
3e5aae79-7fc8-11e6-aed5-000476f4fa98;1.1.107;Stopmap Plakbook Asman;buah;;;
3e5ab875-7fc8-11e6-aed5-000476f4fa98;1.1.108;Snelhecter Folio Kertas;buah;;;
3e5ac267-7fc8-11e6-aed5-000476f4fa98;1.1.109;Snelhecter Plastik;buah;;;
3e5acc86-7fc8-11e6-aed5-000476f4fa98;1.1.110;Amplop Airmail Tali folio 25 lbr;dus;;;
3e5ad6c1-7fc8-11e6-aed5-000476f4fa98;1.1.111;Amplop Airmail Tali Kwarto 25 lbr ;dus;;;
3e5ae0e3-7fc8-11e6-aed5-000476f4fa98;1.1.112;Amplop Airmail Tali Map 25 lbr;dus;;;
3e5aeb2c-7fc8-11e6-aed5-000476f4fa98;1.1.113;Amplop Airmail Tali uk 1/2 folio (25 lbr );dus;;;
3e5af55e-7fc8-11e6-aed5-000476f4fa98;1.1.114;Amplop 80 gr uk 1/2 folio 100 lbr;dus;;;
3e5aff95-7fc8-11e6-aed5-000476f4fa98;1.1.115;Amplop 80 gr uk cabinet 100 lbr;dus;;;
3e5b09e4-7fc8-11e6-aed5-000476f4fa98;1.1.116;Amplop 80 gr uk kwarto 100 lbr;dus;;;
3e5b1415-7fc8-11e6-aed5-000476f4fa98;1.1.117;Amplop 80 gr uk Map 100 lbr;dus;;;
3e5b1f25-7fc8-11e6-aed5-000476f4fa98;1.1.118;Amplop Airmail EV 90 100 lbr;dus;;;
3e5b296c-7fc8-11e6-aed5-000476f4fa98;1.1.119;Amplop Folio 100 lbr;dus;;;
3e5b33bb-7fc8-11e6-aed5-000476f4fa98;1.1.120;Amplop Manila cabinet 10 lbr;dus;;;
3e5b3e10-7fc8-11e6-aed5-000476f4fa98;1.1.121;Amplop Manila folio 100 lbr;dus;;;
3e5b485f-7fc8-11e6-aed5-000476f4fa98;1.1.122;Amplop Kecil (kartu nama);dus;;;
3e5b52c1-7fc8-11e6-aed5-000476f4fa98;1.1.123;Amplop Panjang (kabinet);dus;;;
3e5b5d17-7fc8-11e6-aed5-000476f4fa98;1.1.124;Amplop Persegi;dus;;;
3e5b6a14-7fc8-11e6-aed5-000476f4fa98;1.1.125;Tas Dokumen Besar;buah;;;
3e5b728b-7fc8-11e6-aed5-000476f4fa98;1.1.126;Tas Dokumen Kecil;buah;;;
3e5b7afd-7fc8-11e6-aed5-000476f4fa98;1.1.127;Ordner kwarto;buah;;;
3e5b836c-7fc8-11e6-aed5-000476f4fa98;1.1.128;Ordner Folio;buah;;;
3e5b8bd6-7fc8-11e6-aed5-000476f4fa98;1.1.129;Pertepel tali;buah;;;
3e5b950a-7fc8-11e6-aed5-000476f4fa98;1.1.130;Stempel kusen ( stampel No 1);buah;;;
3e5b9dbe-7fc8-11e6-aed5-000476f4fa98;1.1.131;Stempel kusen (stampel HR 2001);buah;;;
3e5ba714-7fc8-11e6-aed5-000476f4fa98;1.1.132;Tinta Rapido;tabung;;;
3e5baf6f-7fc8-11e6-aed5-000476f4fa98;1.1.133;Tinta Spidol;botol;;;
3e5bb845-7fc8-11e6-aed5-000476f4fa98;1.1.134;Tinta Stempel;botol;;;
3e5bc0ef-7fc8-11e6-aed5-000476f4fa98;1.1.135;Tinta Tulis;botol;;;
3e5bc97b-7fc8-11e6-aed5-000476f4fa98;1.1.136;Tinta White board;botol;;;
3e5bd1fe-7fc8-11e6-aed5-000476f4fa98;1.1.137;Kapur tulis Berwarna;dus;;;
3e5bda79-7fc8-11e6-aed5-000476f4fa98;1.1.138;Kapur tulis Putih;dus;;;
3e5be348-7fc8-11e6-aed5-000476f4fa98;1.1.139;Plastik transparan Folio Uk 0,03 mm (isi 100 lbr);pack;;;
3e5bec30-7fc8-11e6-aed5-000476f4fa98;1.1.140;Plastik transparan Folio Uk 0,10 mm (isi 50 lbr);pack;;;
3e5bf510-7fc8-11e6-aed5-000476f4fa98;1.1.141;Plastik transparan Folio Uk 0,12 mm (isi 100 lbr);pack;;;
3e5bfdf3-7fc8-11e6-aed5-000476f4fa98;1.1.142;Kertas Gambar Drafein film 002 / 50 micron;gulung;;;
3e5c06a8-7fc8-11e6-aed5-000476f4fa98;1.1.143;Kertas Gambar padalarang;gulung;;;
3e5c0f53-7fc8-11e6-aed5-000476f4fa98;1.1.144;Kertas kalkir 80/85;gulung;;;
3e5c180e-7fc8-11e6-aed5-000476f4fa98;1.1.145;Kertas Gambar milimeter kalkir;gulung;;;
3e5c2101-7fc8-11e6-aed5-000476f4fa98;1.1.146;Kertas Gambar OCE amoniak (20 m / 670 b);gulung;;;
3e5c29c3-7fc8-11e6-aed5-000476f4fa98;1.1.147;Paku Pines Berwarna;pack;;;
3e5c3274-7fc8-11e6-aed5-000476f4fa98;1.1.148;Paku Pines Putih;pack;;;
3e5c3b42-7fc8-11e6-aed5-000476f4fa98;1.1.149;Spidol Flourecent Besar;buah;;;
3e5c4445-7fc8-11e6-aed5-000476f4fa98;1.1.150;Spidol Flourecent Besar (10 Buah);set;;;
3e5c4d3d-7fc8-11e6-aed5-000476f4fa98;1.1.151;Spidol Flourecent Kecil ( 6 Buah );set;;;
3e5c6e86-7fc8-11e6-aed5-000476f4fa98;1.1.152;Garisan Mika Uk 20 cm;buah;;;
3e5c781a-7fc8-11e6-aed5-000476f4fa98;1.1.153;Garisan Mika Uk 30 cm;buah;;;
3e5c8125-7fc8-11e6-aed5-000476f4fa98;1.1.154;Garisan Mika Uk 40 cm;buah;;;
3e5c8ad7-7fc8-11e6-aed5-000476f4fa98;1.1.155;Garisan Mika Uk 50 cm;buah;;;
3e5c93ea-7fc8-11e6-aed5-000476f4fa98;1.1.156;Garisan Mika Uk 60 cm;buah;;;
3e5c9cf1-7fc8-11e6-aed5-000476f4fa98;1.1.157;Garisan Mika Uk 100 cm;buah;;;
3e5ca6e3-7fc8-11e6-aed5-000476f4fa98;1.1.158;Garisan Segitiga Besar ( No 12);buah;;;
3e5cafc9-7fc8-11e6-aed5-000476f4fa98;1.1.159;Garisan Segitiga Kecil (No 10);buah;;;
3e5cb892-7fc8-11e6-aed5-000476f4fa98;1.1.160;Rapido Uk 0,1 mm;buah;;;
3e5cc168-7fc8-11e6-aed5-000476f4fa98;1.1.161;Rapido Uk 0,2 mm;buah;;;
3e5cca58-7fc8-11e6-aed5-000476f4fa98;1.1.162;Rapido Uk 0,3 s/d 1,00 mm;buah;;;
3e5cd345-7fc8-11e6-aed5-000476f4fa98;1.1.163;Mata Rapido Uk 0,1 mm;buah;;;
3e5cdc37-7fc8-11e6-aed5-000476f4fa98;1.1.164;Mata Rapido Uk 0,2 mm;buah;;;
3e5ce54d-7fc8-11e6-aed5-000476f4fa98;1.1.165;Mata Rapido Uk 0,3 s/d 1,00 mm;buah;;;
3e5cef03-7fc8-11e6-aed5-000476f4fa98;1.1.166;Isolasi Biasa;gulung;;;
3e5cf866-7fc8-11e6-aed5-000476f4fa98;1.1.167;Isolasi Parfix 1 x 72;gulung;;;
3e5d0176-7fc8-11e6-aed5-000476f4fa98;1.1.168;Isolasi Parfix 1/2  x 72;gulung;;;
3e5d0a8b-7fc8-11e6-aed5-000476f4fa98;1.1.169;Isolasi Parfix 1 x 36;gulung;;;
3e5d13ab-7fc8-11e6-aed5-000476f4fa98;1.1.170;Isolasi Parfix 1/2  x 36;gulung;;;
3e5d1ccc-7fc8-11e6-aed5-000476f4fa98;1.1.171;Plat Band Kertas 1 inci;gulung;;;
3e5d25f0-7fc8-11e6-aed5-000476f4fa98;1.1.172;Plat Band Kertas 2 inci;gulung;;;
3e5d2f14-7fc8-11e6-aed5-000476f4fa98;1.1.173;Plat Band Kain 2 inci;gulung;;;
3e5d384f-7fc8-11e6-aed5-000476f4fa98;1.1.174;Pisau Cutter Besar;buah;;;
3e5d4173-7fc8-11e6-aed5-000476f4fa98;1.1.175;Pisau Cutter Kecil;buah;;;
3e5d4ab3-7fc8-11e6-aed5-000476f4fa98;1.1.176;Isi Pisau Cutter Besar;pack;;;
3e5d548c-7fc8-11e6-aed5-000476f4fa98;1.1.177;Isi Pisau Cutter Kecil;pack;;;
3e5d5dee-7fc8-11e6-aed5-000476f4fa98;1.1.178;Tali Rafia Besar (1kg);gulung;;;
3e5d673a-7fc8-11e6-aed5-000476f4fa98;1.1.179;Tali Rafia Kecil;gulung;;;
3e5d7099-7fc8-11e6-aed5-000476f4fa98;1.1.180;Tali Rafia Sedang (1/2 kg) ;gulung;;;
3e5d7a8e-7fc8-11e6-aed5-000476f4fa98;1.1.181;Tali Gelang Karet;kg;;;
3e5d8413-7fc8-11e6-aed5-000476f4fa98;1.1.182;Gunting Besar tangkai plastik;buah;;;
3e5d8e17-7fc8-11e6-aed5-000476f4fa98;1.1.183;Gunting Kebun;buah;;;
3e5d98fd-7fc8-11e6-aed5-000476f4fa98;1.1.184;Gunting Kecil Tangkai plastik;buah;;;
3e5da258-7fc8-11e6-aed5-000476f4fa98;1.1.185;Gunting Sedang tangkai plastik;buah;;;
3e5dab82-7fc8-11e6-aed5-000476f4fa98;1.1.186;File Box Besar;buah;;;
3e5db4d2-7fc8-11e6-aed5-000476f4fa98;1.1.187;Box surat (3 unsur);set;;;
3e5dbe18-7fc8-11e6-aed5-000476f4fa98;1.1.188;File Box Kecil;buah;;;
3e5dc770-7fc8-11e6-aed5-000476f4fa98;1.1.189;Tempat ballpoint Card 8312;set;;;
3e5dd0aa-7fc8-11e6-aed5-000476f4fa98;1.1.190;Batu AA;buah;;;
3e5dda0b-7fc8-11e6-aed5-000476f4fa98;1.1.191;Batu AAA;buah;;;
3e5de373-7fc8-11e6-aed5-000476f4fa98;1.1.192;Batu baterai 9 sale;buah;;;
3e5decda-7fc8-11e6-aed5-000476f4fa98;1.1.193;Batu baterai besar;buah;;;
3e5df65c-7fc8-11e6-aed5-000476f4fa98;1.1.194;Batu baterai kecil;buah;;;
3e5dffcf-7fc8-11e6-aed5-000476f4fa98;1.1.195;Batu baterai sedang;buah;;;
3e5e0940-7fc8-11e6-aed5-000476f4fa98;1.1.196;Pita facsimili;gulung;;;
3e5e12ea-7fc8-11e6-aed5-000476f4fa98;1.1.197;Kertas Facsimili Uk 100 x 216 mm;gulung;;;
3e5e1c91-7fc8-11e6-aed5-000476f4fa98;1.1.198;Kertas Facsimili Uk 30 x 210 mm;gulung;;;
3e5e26c4-7fc8-11e6-aed5-000476f4fa98;1.1.199;Kertas Facsimili Uk 30 x 216 mm;gulung;;;
3e5e30c2-7fc8-11e6-aed5-000476f4fa98;1.1.200;Casette tape recorder C 60;buah;;;
3e5e3a70-7fc8-11e6-aed5-000476f4fa98;1.1.201;Casette tape recorder C 90;buah;;;
3e5e4414-7fc8-11e6-aed5-000476f4fa98;1.1.202;Casette tape recorder C 60 mini;buah;;;
3e5e4ddf-7fc8-11e6-aed5-000476f4fa98;1.1.203;Casette Handy Cam Tipe HINP 120 PGJPG;buah;;;
3e5e57ba-7fc8-11e6-aed5-000476f4fa98;1.1.204;Casette Handy Cam Tipe PGMG 120 JPG;buah;;;
3e5e6155-7fc8-11e6-aed5-000476f4fa98;1.1.205;Kepingan VCD;buah;;;
3e5e6b9f-7fc8-11e6-aed5-000476f4fa98;1.1.206;Kepingan DVD;buah;;;
3e5e7570-7fc8-11e6-aed5-000476f4fa98;1.1.207;Album Uk 27 x 32 isi 10;buah;;;
3e5e7f4e-7fc8-11e6-aed5-000476f4fa98;1.1.208;Album Uk 32 x 32 isi 10;buah;;;
3e5e8916-7fc8-11e6-aed5-000476f4fa98;1.1.209;Album Uk 32 x 32 isi 15;buah;;;
3e5e93a9-7fc8-11e6-aed5-000476f4fa98;1.1.210;Jepit Laminating Biasa ;buah;;;
3e5e9d59-7fc8-11e6-aed5-000476f4fa98;1.1.211;Jepit Laminating Pakai jepit;buah;;;
3e5ea705-7fc8-11e6-aed5-000476f4fa98;1.1.212;jepitan kertas kecil;buah;;;
3e5eb0c0-7fc8-11e6-aed5-000476f4fa98;1.1.213;jepitan kertas sedang;buah;;;
3e5eba5a-7fc8-11e6-aed5-000476f4fa98;1.1.214;Pigura;buah;;;
3e5ec4d2-7fc8-11e6-aed5-000476f4fa98;1.1.215;Violet Ink Sampul plastik;gulung;;;
3e5ecee1-7fc8-11e6-aed5-000476f4fa98;1.1.216;Violet Ink Violet Ink ARR;botol;;;
3e5ed8af-7fc8-11e6-aed5-000476f4fa98;1.1.217;Violet Ink Violet Ink AWLR;botol;;;
3e5ee35f-7fc8-11e6-aed5-000476f4fa98;1.1.218;Plakat bergambar daerah besar;buah;;;
3e5eee6a-7fc8-11e6-aed5-000476f4fa98;1.1.219;Plakat bergambar daerah kecil;buah;;;
3e5ef89c-7fc8-11e6-aed5-000476f4fa98;1.1.220;Kertas Foto;pack;;;
3e5f027c-7fc8-11e6-aed5-000476f4fa98;1.1.221;Paper Bag;buah;;;
3e5f0c68-7fc8-11e6-aed5-000476f4fa98;1.1.222;Kalender Meja;buah;;;
3e5f1647-7fc8-11e6-aed5-000476f4fa98;1.1.223;Banner;cm2;;;
3e5f203c-7fc8-11e6-aed5-000476f4fa98;1.1.224;Paper Clips ;pack;;;
3e5f2a2c-7fc8-11e6-aed5-000476f4fa98;1.1.225;Remover;buah;;;
3e5f3447-7fc8-11e6-aed5-000476f4fa98;1.1.226;Stempel Tanggal Parporator Besar;buah;;;
3e5f3ec8-7fc8-11e6-aed5-000476f4fa98;1.1.227;Stempel Tanggal Parporator Kecil;buah;;;
3e5f4951-7fc8-11e6-aed5-000476f4fa98;1.1.228;Sticky Notes Label Undangan Ukuran 107;pack;;;
3e5f5388-7fc8-11e6-aed5-000476f4fa98;1.1.229;Sticky Notes Label Undangan Ukuran 105;pack;;;
3e5f5e15-7fc8-11e6-aed5-000476f4fa98;1.1.230;Rautan Pencil;buah;;;
3e5f6884-7fc8-11e6-aed5-000476f4fa98;1.1.231;Stabillo Bos;buah;;;
3e5f7373-7fc8-11e6-aed5-000476f4fa98;1.1.232;Tinta Refill Catride Black Ink;set;;;
3e5f7dba-7fc8-11e6-aed5-000476f4fa98;1.1.233;Tinta Refill Catride Colour Ink;set;;;
3e5f8805-7fc8-11e6-aed5-000476f4fa98;1.1.234;Tinta Refill Catride Refil Toner Laser Jet;set;;;
3e5f9258-7fc8-11e6-aed5-000476f4fa98;1.1.235;Styling Pro-Cl Printer Black  Ink;set;;;
3e5f9d8c-7fc8-11e6-aed5-000476f4fa98;1.1.236;Styling Pro-Cl Printer Colour Ink Cartridge;set;;;
3e5fa7e1-7fc8-11e6-aed5-000476f4fa98;1.1.237;Ribbon Catridge Printer ukuran printer folio / A4;buah;;;
3e5fb21b-7fc8-11e6-aed5-000476f4fa98;1.1.238;Ribbon Catridge Printer ukuran double folio;buah;;;
3e5fbc52-7fc8-11e6-aed5-000476f4fa98;1.1.239;Ribbon Cartridge Dotmatrik Besar;buah;;;
3e5fc6a3-7fc8-11e6-aed5-000476f4fa98;1.1.240;Ribbon Cartridge Dotmatrik Kecil;buah;;;
3e5fd131-7fc8-11e6-aed5-000476f4fa98;1.1.241;Kertas Komputer (Continous Form) Ukuran 14 7/8 x 11  1 ply (2000 lb);box;;;
3e5fdbca-7fc8-11e6-aed5-000476f4fa98;1.1.242;Kertas Komputer (Continous Form) Ukuran 14 7/8 x 11 2 ply (1000 lb);box;;;
3e5fe662-7fc8-11e6-aed5-000476f4fa98;1.1.243;Kertas Komputer (Continous Form) Ukuran 14 7/8 x 11 3 ply (1000 lb);box;;;
3e5ff105-7fc8-11e6-aed5-000476f4fa98;1.1.244;Kertas Komputer (Continous Form) Ukuran 14 7/8 x 11 4 ply (500 lb);box;;;
3e5ffc34-7fc8-11e6-aed5-000476f4fa98;1.1.245;Kertas Komputer (Continous Form) Ukuran 14 7/8 x 11 5 ply (500 lb);box;;;
3e600739-7fc8-11e6-aed5-000476f4fa98;1.1.246;Kertas Komputer (Continous Form) Ukuran 9 1/2 x 11 1 ply (2000 lbr);box;;;
3e6011f7-7fc8-11e6-aed5-000476f4fa98;1.1.247;Kertas Komputer (Continous Form) Ukuran 9 1/2 x 11 2 ply (1000 lbr);box;;;
3e601e92-7fc8-11e6-aed5-000476f4fa98;1.1.248;Kertas Komputer (Continous Form) Ukuran 9 1/2 x 11 3 ply (1000 lbr);box;;;
